GEOID,scenario,dest_id,dest_name,dest_type,travel_time_min,reachable
13121001001,bus_rail,grady,Grady Memorial Hospital,hospital,0,TRUE
13121001001,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,0.9166666666666666,TRUE
13121001001,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121006801,rail_only,midtown,Midtown,job_center,NA,FALSE
13121006801,rail_only,downtown,Downtown,job_center,NA,FALSE
13121006801,rail_only,gatech,Georgia Tech,education,NA,FALSE
13121006801,rail_only,emory,Emory,education,NA,FALSE
13121006801,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13121006801,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121006801,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121006801,bus_rail,midtown,Midtown,job_center,28.383333333333333,TRUE
13121006801,bus_rail,downtown,Downtown,job_center,17.616666666666667,TRUE
13121006801,bus_rail,gatech,Georgia Tech,education,27.45,TRUE
13121006801,bus_rail,emory,Emory,education,84.93333333333334,TRUE
13121006801,bus_rail,grady,Grady Memorial Hospital,hospital,18.316666666666666,TRUE
13121006801,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,51.25,TRUE
13121006801,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121001002,rail_only,midtown,Midtown,job_center,0,TRUE
13121001002,rail_only,downtown,Downtown,job_center,1,TRUE
13121001002,rail_only,gatech,Georgia Tech,education,0,TRUE
13121001002,rail_only,emory,Emory,education,NA,FALSE
13121001002,rail_only,grady,Grady Memorial Hospital,hospital,2,TRUE
13121001002,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121001002,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121001002,bus_rail,midtown,Midtown,job_center,0,TRUE
13121001002,bus_rail,downtown,Downtown,job_center,0,TRUE
13121001002,bus_rail,gatech,Georgia Tech,education,0,TRUE
13121001002,bus_rail,emory,Emory,education,17.8,TRUE
13121001002,bus_rail,grady,Grady Memorial Hospital,hospital,2,TRUE
13121001002,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,4.766666666666667,TRUE
13121001002,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13089022405,rail_only,midtown,Midtown,job_center,NA,FALSE
13089022405,rail_only,downtown,Downtown,job_center,NA,FALSE
13089022405,rail_only,gatech,Georgia Tech,education,NA,FALSE
13089022405,rail_only,emory,Emory,education,NA,FALSE
13089022405,rail_only,grady,Grady Memorial Hospital,hospital,NA,FALSE
13089022405,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13089022405,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13089022405,bus_rail,midtown,Midtown,job_center,15.816666666666666,TRUE
13089022405,bus_rail,downtown,Downtown,job_center,27.866666666666667,TRUE
13089022405,bus_rail,gatech,Georgia Tech,education,20.033333333333335,TRUE
13089022405,bus_rail,emory,Emory,education,0,TRUE
13089022405,bus_rail,grady,Grady Memorial Hospital,hospital,22.933333333333334,TRUE
13089022405,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,47.233333333333334,TRUE
13089022405,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121009301,rail_only,midtown,Midtown,job_center,4,TRUE
13121009301,rail_only,downtown,Downtown,job_center,8,TRUE
13121009301,rail_only,gatech,Georgia Tech,education,6,TRUE
13121009301,rail_only,emory,Emory,education,NA,FALSE
13121009301,rail_only,grady,Grady Memorial Hospital,hospital,9,TRUE
13121009301,rail_only,piedmont,Piedmont Atlanta Hospital,hospital,NA,FALSE
13121009301,rail_only,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121009301,bus_rail,midtown,Midtown,job_center,4,TRUE
13121009301,bus_rail,downtown,Downtown,job_center,8,TRUE
13121009301,bus_rail,gatech,Georgia Tech,education,6,TRUE
13121009301,bus_rail,emory,Emory,education,13.5,TRUE
13121009301,bus_rail,grady,Grady Memorial Hospital,hospital,9,TRUE
13121009301,bus_rail,piedmont,Piedmont Atlanta Hospital,hospital,0,TRUE
13121009301,bus_rail,atl,Hartsfield-Jackson Atlanta International Airport,airport,NA,FALSE
13121009105,rail_only,midtown,Midtown,job_center,NA,FALSE
